Time,PosX,PosY,PosZ
0.0,-7661.608475600432,-6611.618507006096,501.9210030674168
0.052,-7663.851196970095,-6573.638692296251,501.8948585038068
0.121,-7667.0,-6523.0,502.0
0.341,-7677.0,-6360.0,503.0
0.412,-7678.776624608095,-6307.21687490172,503.11494786360475
0.581,-7679.0,-6181.0,503.0
0.652,-7677.204345877068,-6127.4391916613,502.9774824981548
0.841,-7668.0,-5984.0,503.0
1.052,-7654.526159896455,-5824.767989763929,503.0087833704843
1.081,-7653.0,-5803.0,503.0
1.121,-7651.0,-5773.0,503.0
1.301,-7635.0,-5638.0,505.0
1.332,-7631.815914235201,-5615.563852830393,505.8872007027316
1.531,-7610.269707369416,-5479.174454398558,513.69333533354
1.542,-7609.0,-5472.0,514.0
1.741,-7585.0,-5349.0,517.0
1.851,-7572.009966098887,-5287.205933880855,519.0231532414737
1.961,-7559.0,-5229.0,521.0
2.091,-7543.046257396452,-5163.611598177821,522.2837219875265
2.251,-7523.4735356892115,-5089.72849436904,522.886683184155
2.281,-7520.0,-5077.0,523.0
2.411,-7505.426232747373,-5024.974726734816,523.6615436244331
2.44,-7502.0,-5013.0,524.0
2.571,-7485.507865267823,-4956.49457309255,526.4978103631228
2.601,-7482.0,-4945.0,527.0
2.78,-7464.0,-4891.0,529.0
2.811,-7460.811292108183,-4881.879535317357,529.5295366874274
2.971,-7442.969126938691,-4832.7180395015475,533.2085230728196
3.02,-7437.0,-4818.0,534.0
3.28,-7402.0,-4747.0,535.0
3.331,-7394.892741484481,-4735.140424595773,535.3579834792034
3.501,-7364.0,-4699.0,537.0
3.691,-7296.211945549876,-4658.907483363581,537.6797780535098
3.761,-7274.0,-4648.0,538.0
4.051,-7219.343694360542,-4629.566378634959,540.8769094183469
4.061,-7217.0,-4629.0,541.0
4.211,-7172.8924060521695,-4618.682890265606,542.9670700004883
4.281,-7149.0,-4614.0,544.0
4.501,-7070.0,-4603.0,548.0
4.531,-7059.9637023410505,-4601.821843861964,548.6987742031419
4.691,-7006.764567166557,-4596.161517580774,553.1014014304377
4.72,-6995.0,-4595.0,554.0
4.891,-6909.8051335184655,-4586.978481838256,559.7783040952539
4.961,-6876.0,-4584.0,562.0
5.131,-6806.145239724316,-4578.341077906245,566.7148810567521
5.141,-6802.0,-4578.0,567.0
5.3,-6733.0,-4572.0,572.0
5.56,-6614.0,-4559.0,583.0
5.611,-6584.351443090354,-4554.9732872305985,585.5098646396202
5.781,-6478.0,-4539.0,594.0
5.811,-6461.363762008782,-4536.264533092363,595.3364894461538
6.011,-6370.022212576573,-4519.152769159269,602.8928773993662
6.141,-6314.0,-4507.0,608.0
6.332,-6224.43792274351,-4486.067514568191,616.6078114634296
6.341,-6220.0,-4485.0,617.0
6.521,-6122.0,-4461.0,625.0
6.612,-6056.530643544729,-4444.786185283381,630.5828627600848
6.841,-5884.0,-4402.0,646.0
6.972,-5831.830569682664,-4389.2760594679385,650.9119641224053
7.101,-5790.0,-4379.0,655.0
7.332,-5667.6192923733215,-4347.830759191647,666.6510198054199
7.401,-5610.0,-4333.0,672.0
7.612,-5388.715902880683,-4275.974286532768,692.2916630943125
7.621,-5381.0,-4274.0,693.0
7.852,-5272.840905309262,-4247.090992465768,703.0570430603831
8.012,-5232.9024027107835,-4240.360944933092,706.9001380335327
8.082,-5200.0,-4235.0,710.0
8.261,-5082.0,-4217.0,721.0
8.421,-4973.0,-4206.0,731.0
8.451,-4950.891796095063,-4204.178792948516,733.0557345337969
8.602,-4836.0,-4195.0,744.0
8.651,-4802.690041373587,-4191.747645810649,747.3251854031971
8.841,-4687.0,-4175.0,759.0
9.091,-4516.930063177674,-4127.616060544809,773.4653297210641
9.141,-4478.0,-4112.0,777.0
9.251,-4386.054486978353,-4069.356256087598,785.8870215205667
9.32,-4333.0,-4043.0,791.0
9.611,-4189.29057832673,-3967.423980667947,802.6358536357943
9.741,-4099.0,-3926.0,810.0
9.811,-4032.809391704866,-3897.52219345768,815.6994033462214
9.92,-3926.0,-3853.0,825.0
10.091,-3820.817099850815,-3811.770610949056,833.7693228574431
10.341,-3690.0,-3780.0,842.0
10.371,-3663.7271927736324,-3774.686546665578,843.5218828879091
10.561,-3473.0,-3739.0,854.0
10.771,-3340.7937884926127,-3720.9718942782356,858.9130000504304
10.861,-3287.0,-3715.0,860.0
10.971,-3209.9210853155932,-3706.079153204582,861.2262239277692
11.101,-3112.0,-3694.0,862.0
11.171,-3061.013400870477,-3687.2034963234605,861.8379629469412
11.321,-2946.0,-3666.0,861.0
11.571,-2721.2285817037764,-3595.2212367293714,861.9560618345322
11.581,-2715.0,-3593.0,862.0
11.881,-2631.0,-3551.0,863.0
11.971,-2597.5187225157615,-3528.626231979092,863.5526360044039
12.211,-2482.0447316815453,-3444.5861157785366,864.9908252019628
12.221,-2478.0,-3441.0,865.0
12.281,-2455.0,-3419.0,865.0
12.451,-2385.405131103982,-3334.8447662240983,865.9175213256527
12.601,-2335.0,-3262.0,867.0
12.731,-2312.020751222721,-3220.3503854635587,867.4590655700193
12.881,-2297.0,-3174.0,868.0
12.932,-2291.261819118315,-3152.259459760153,868.3430133366713
13.161,-2268.0,-3048.0,870.0
13.172,-2267.4737713186128,-3045.017607170325,870.01885531081
13.301,-2265.0,-3019.0,870.0
13.412,-2264.2339055877246,-2979.6049865724203,870.6113944822383
13.612,-2266.098952434313,-2875.397750284746,872.6975116738924
13.661,-2268.0,-2852.0,873.0
13.892,-2285.1412503312063,-2759.5551191628383,873.1891705019528
14.042,-2301.0,-2707.0,876.0
14.221,-2324.0,-2644.0,883.0
14.252,-2329.011018733295,-2632.1536343212233,883.5673421174281
14.361,-2348.0,-2590.0,884.0
14.452,-2362.1324386665556,-2559.611322716654,884.203671189218
14.652,-2406.4849964135037,-2483.2147129084105,884.9474288851029
14.661,-2410.0,-2478.0,885.0
14.821,-2485.0,-2372.0,886.0
14.891,-2508.06820621974,-2340.3991836986247,886.1368259979209
15.051,-2529.107290362743,-2314.2472920739997,885.5860289036599
15.201,-2551.0,-2290.0,885.0
15.291,-2573.6874791102287,-2263.8453319754212,884.8228125192406
15.422,-2612.0,-2218.0,885.0
15.58,-2651.0,-2167.0,886.0
15.611,-2657.9220158690305,-2157.6207794956586,886.0973619798666
15.84,-2704.0,-2084.0,887.0
15.851,-2706.123390569625,-2079.3623744193915,887.2060479265997
16.06,-2742.0,-1981.0,893.0
16.171,-2751.2336560648005,-1945.4170205354872,894.3282334113476
16.42,-2746.0,-1881.0,894.0
16.491,-2739.078444409315,-1849.478208041462,894.3307372700698
16.7,-2708.0,-1738.0,895.0
16.771,-2695.5677545714,-1705.4610376370722,894.0979336182698
17.061,-2645.0,-1609.0,887.0
17.131,-2636.747423901423,-1594.398374709737,885.92441240061
17.291,-2622.4109327622064,-1570.3568472101833,884.4296663224603
17.401,-2603.0,-1543.0,882.0
17.531,-2565.2340050314497,-1492.6369406831502,876.8654114303182
17.731,-2494.9931468338086,-1402.6853808968847,867.3746760050528
17.741,-2492.0,-1399.0,867.0
17.891,-2453.720630702087,-1353.9198126057545,862.6354044677238
18.1,-2403.0,-1299.0,858.0
18.261,-2349.0,-1240.0,853.0
18.371,-2310.2389088748705,-1197.4261906615423,848.8069015727924
18.441,-2286.0,-1170.0,846.0
18.531,-2255.9152746489635,-1134.4273026555159,842.3896698045373
18.691,-2204.708169854438,-1069.3840631521857,835.8929108855785
18.821,-2160.0,-1008.0,830.0
18.971,-2104.4346381614055,-927.417873314256,822.4701325561125
19.001,-2094.0,-912.0,821.0
19.171,-2042.8020709972534,-835.0359332971196,813.2939837100986
19.332,-1996.801507871909,-767.0099135776602,806.3921128241076
19.341,-1994.0,-763.0,806.0
19.612,-1902.0209617305024,-636.981456083375,794.3466300124762
19.621,-1899.0,-633.0,794.0
19.821,-1835.0,-551.0,787.0
20.012,-1781.1077512017098,-484.6674311581583,780.7149209665332
20.041,-1774.0,-476.0,780.0
20.221,-1728.0,-421.0,776.0
20.292,-1696.4152857059034,-384.7163598862952,772.5121186796464
20.361,-1666.0,-350.0,769.0
20.492,-1634.2767586484185,-313.7964757225034,765.3037162556441
20.721,-1615.0,-295.0,763.0
20.732,-1613.134974858727,-293.2734747603622,762.7841419142031
20.932,-1564.1028481863584,-248.5526723448719,757.2047255297709
21.021,-1543.0,-231.0,755.0
21.132,-1522.2614291272191,-216.3665719677247,753.1330824366353
21.292,-1498.6619605386968,-206.4024673148004,751.6799868561336
21.361,-1486.0,-203.0,751.0
21.492,-1457.4053813525484,-197.62757138465514,749.4476142157476
21.521,-1451.0,-197.0,749.0
21.741,-1402.0,-203.0,744.0
21.811,-1382.3547917674969,-210.76947666578948,741.7870657148553
22.011,-1324.1387299592463,-241.71162531661878,735.2340012913121
22.021,-1322.0,-243.0,735.0
22.331,-1289.8802601048035,-271.69421616554456,731.665082284157
22.38,-1285.0,-278.0,731.0
22.541,-1265.0,-305.0,728.0
22.611,-1257.118914348207,-318.14693455729724,726.7973962096145
22.88,-1234.0,-374.0,723.0
22.931,-1230.3725682399515,-385.4997543745595,722.2620072407767
23.131,-1217.6187718045092,-432.62010445127567,719.1666734205844
23.141,-1217.0,-435.0,719.0
23.301,-1207.0,-474.0,716.0
23.331,-1205.0070541469543,-481.9127901699468,715.2852699388422
23.421,-1199.0,-506.0,713.0
23.641,-1183.0,-566.0,708.0
23.691,-1176.1488640518712,-587.9573852478495,706.3093663107126
23.881,-1145.0,-683.0,699.0
23.891,-1143.835345954638,-686.5328098727043,698.7122440144519
24.171,-1126.0577345298202,-735.0905666860946,694.1651108692109
24.221,-1119.0,-751.0,693.0
24.331,-1095.5951154643346,-803.1853051119224,689.482494806131
24.481,-1059.0,-883.0,684.0
24.731,-1025.3036848555282,-946.8867248493187,677.7167464826188
24.821,-1013.0,-966.0,676.0
24.891,-1001.5548778980362,-983.1236767225096,674.7921958167933
25.001,-982.0,-1011.0,673.0
25.131,-960.2889859857587,-1038.7631065144255,670.7836188974413
25.281,-936.0,-1065.0,668.0
25.411,-914.3691720612287,-1084.1096080371115,665.3081418986302
25.541,-893.0,-1100.0,663.0
25.651,-875.7522360948235,-1111.0442817987164,661.8492931460212
25.761,-857.0,-1120.0,661.0
25.891,-830.0154417448871,-1128.0318612825013,659.8274579924023
26.001,-809.0,-1132.0,659.0
26.172,-788.3304960038099,-1131.9701091936374,658.4336960421349
26.26,-779.0,-1129.0,658.0
26.492,-751.8797802463629,-1111.8962879802395,656.0342996113392
26.501,-751.0,-1111.0,656.0
26.741,-735.0,-1082.0,656.0
26.772,-733.8698322288631,-1077.8003677234276,655.7943991828465
26.921,-731.0,-1057.0,654.0
27.052,-731.2004338921786,-1039.2209685730822,652.1218978185918
27.161,-733.0,-1024.0,650.0
27.362,-739.0,-995.0,645.0
27.452,-741.5650249146565,-984.9458714851976,644.1801021238556
27.501,-743.0,-980.0,644.0
27.652,-748.0377891812035,-965.7776690331494,643.9643070900484
27.841,-759.0,-943.0,643.0
27.852,-759.9351897859007,-941.2098572984205,642.8290535381078
28.012,-776.3808441082359,-910.918619670518,639.1916160304307
28.081,-782.0,-901.0,638.0
28.292,-789.5855003434551,-890.0129823667194,637.280825901601
28.341,-792.0,-887.0,637.0
28.571,-812.6719927655317,-860.356129358049,633.6499157235896
28.621,-818.0,-854.0,633.0
28.731,-829.9741586303268,-840.7183050119538,631.9838428665887
28.801,-838.0,-832.0,631.0
28.96,-858.0,-810.0,627.0
29.011,-865.0746711035727,-802.4825964732586,625.7665636437162
29.211,-894.9682137056245,-772.0303220325623,621.8321136353733
29.26,-902.0,-765.0,621.0
29.371,-917.1154030631176,-750.0185177993361,619.2650545284177
29.48,-938.0,-727.0,617.0
29.611,-977.2592844525184,-679.6935164005257,612.8426795067885
29.641,-985.0,-670.0,612.0
29.771,-1005.7500581908495,-641.8987672183791,609.5330216305802
30.0,-1014.0,-616.0,608.0
30.051,-1016.5436072242964,-606.4136905072116,607.6749812419297
30.3,-1029.0,-546.0,606.0
30.331,-1029.3429206626545,-538.8659889714327,605.7794476543355
30.461,-1026.0,-508.0,604.0
30.491,-1023.6518707113289,-499.3538770506982,603.0437094514298
30.701,-995.0,-431.0,593.0
30.931,-962.7694221191744,-388.7390487951951,589.0671295090737
31.091,-940.2327683473432,-372.16009797708244,588.4777017963503
31.14,-933.0,-367.0,588.0
31.291,-909.735611621247,-350.8544616405748,585.6515221896452
31.541,-870.0,-325.0,580.0
31.611,-859.2418070676699,-318.4908806725627,578.3864874579778
31.811,-813.9335067869303,-294.86320125555653,573.3040126248202
31.821,-810.0,-293.0,573.0
31.98,-736.0,-259.0,568.0
32.011,-725.6718893904739,-254.32237761496077,567.2758347216792
32.301,-687.0,-239.0,564.0
32.411,-654.0631522072338,-227.13235427211157,562.2642627024613
32.641,-566.0,-196.0,558.0
32.732,-543.7092424937621,-189.0247754860603,556.7780621174409
32.881,-510.0,-182.0,555.0
33.052,-443.4199754807605,-174.20144370687774,552.3774071520029
33.221,-382.0,-169.0,550.0
33.332,-362.5800590325878,-168.24134381739088,549.0117138821508
33.492,-346.38100556278266,-174.2416461789438,548.0543521450439
33.501,-345.0,-175.0,548.0
33.812,-274.2378071279828,-223.57640710895672,546.1868570249602
33.861,-265.0,-232.0,546.0
34.132,-237.87402086493736,-274.55011667630714,545.5965266696577
34.281,-228.0,-301.0,545.0
34.452,-214.68862941973262,-336.84762861023967,543.9856094754224
34.462,-214.0,-339.0,544.0
34.601,-206.0,-369.0,545.0
34.652,-203.54539371377066,-380.1120170554783,545.2037999002654
34.812,-197.0541105532994,-416.05509385825076,545.0291368711138
34.841,-196.0,-423.0,545.0
35.002,-191.0,-461.0,545.0
35.051,-190.0278311766017,-469.22209646089794,545.0066313141369
35.211,-188.64879752704016,-485.15399923849225,545.0035661889443
35.301,-188.0,-500.0,545.0
35.451,-186.49190463570386,-541.1552369150259,544.9998334556908
35.5,-186.0,-556.0,545.0
35.66,-185.0,-604.0,545.0
35.731,-185.47596669349062,-625.9152931287019,545.0017796933977
35.881,-188.0,-674.0,545.0
36.06,-192.0,-735.0,545.0
36.131,-194.2596484792808,-760.6440897776403,545.0634164773476
36.28,-200.0,-816.0,545.0
36.441,-207.0,-879.0,544.0
36.451,-207.52118827005006,-883.6970756496586,543.9406390972214
36.721,-224.0,-1033.0,543.0
36.731,-224.5209265248859,-1037.6370855387763,542.9856969010898
36.971,-234.12523151486442,-1120.6024241171833,542.9858781302113
37.06,-238.0,-1155.0,543.0
37.891,-295.40310284741133,-1664.1299985404705,542.0040923169712
37.901,-296.0,-1668.0,542.0
